plate	Rapid_Genomics_Identification	Plate	Column Sort	Silica number	Species	Collector and Number	Final Concentration (ng/ul)	Nanodrop (260/280)
1	GOT_130404_P001_WA01	A1	1	3174	Acoelorrhaphe wrightii	H. Balslev 8156	50	1.76
1	GOT_130404_P001_WA02	A2	9	1156	Aiphanes bicornis	J. West s.n.	50	1.82
1	GOT_130404_P001_WA03	A3	17	261	Aiphanes chiribogensis	F. Borchsenius 652	50	1.80
1	GOT_130404_P001_WA04	A4	25	3563	Aiphanes deltoidea	L.A. Nuñez s.n.	50	1.84
1	GOT_130404_P001_WA05	A5	33	397	Aiphanes duquei	R. Bernal 2852	50	1.78
1	GOT_130404_P001_WA06	A6	41	1072	Aiphanes eggersii	J.C.Pintaud 1476	50	1.80
1	GOT_130404_P001_WA07	A7	49	3155	Aiphanes graminifolia	R.Bernal 4825	50	1.96
1	GOT_130404_P001_WA08	A8	57	259	Aiphanes grandis	F. Borchsenius 648	50	1.75
1	GOT_130404_P001_WA09	A9	65	258	Aiphanes verrucosa	F. Borchsenius 641	50	1.68
1	GOT_130404_P001_WA10	A10	73	2320	Aiphanes weberbaueri	H.Balslev 7769	50	1.81
1	GOT_130404_P001_WA11	A11	81	1177	Asterogyne guianensis	J. Roncal 406	50	1.77
1	GOT_130404_P001_WA12	A12	89	1113	Asterogyne ramosa	Private collection	50	1.79
1	GOT_130404_P001_WB01	B1	2	3415	Astrocaryum chambira	T. Emilio 864	50	1.82
1	GOT_130404_P001_WB02	B2	10	2045	Astrocaryum faranae	H. Balslev 7897	50	1.81
1	GOT_130404_P001_WB03	B3	18	3160	Astrocaryum huaimi	T.P.L. Couvreur 289	50	1.76
1	GOT_130404_P001_WB04	B4	26	1831	Astrocaryum jauari	H. Balslev 7347	50	1.76
1	GOT_130404_P001_WB05	B5	34	3091	Mauritiella pumila	R. Bernal 4373	50	No DNA left to Quantify
1	GOT_130404_P001_WB06	B6	42	3164	Astrocaryum minus	De Granville, J.-J. 14511	50	1.87
1	GOT_130404_P001_WB07	B7	50	1070	Astrocaryum paramaca	J.C.Pintaud 901	50	1.84
1	GOT_130404_P001_WB08	B8	58	3166	Astrocaryum sciophilum	B. Maguire 54126	50	No DNA left to Quantify
1	GOT_130404_P001_WB09	B9	66	266	Astrocaryum urostachys	F. Borchsenius, no voucher	47.6	No DNA left to Quantify
1	GOT_130404_P001_WB10	B10	74	3168	Astrocaryum vulgare	M.J. Balic 1626	50	1.51
1	GOT_130404_P001_WB11	B11	82	3172	Attalea funifera	L.A. Matos Silva 747	50	1.89
1	GOT_130404_P001_WB12	B12	90	1756	Attalea racemosa	H. Balslev 7272	50	1.85
1	GOT_130404_P001_WC01	C1	3	3384	Bactris acanthocarpoides	T. Emilio 831	50	1.81
1	GOT_130404_P001_WC02	C2	11	546	Bactris aubletiana	ENV 1593	50	1.88
1	GOT_130404_P001_WC03	C3	19	2718	Bactris balanophora	R. Bernal 4417	50	1.39
1	GOT_130404_P001_WC04	C4	27	685	Bactris bifida	H. Balslev 6594	50	1.85
1	GOT_130404_P001_WC05	C5	35	543	Bactris campestris	J.C. Pintaud 1448	50	1.84
1	GOT_130404_P001_WC06	C6	43	3177	Bactris chaveziae	T.L.P. Couvreur 279	50	1.63
1	GOT_130404_P001_WC07	C7	51	3179	Bactris constanciae	De Granville 4850	40.2	No DNA left to Quantify
1	GOT_130404_P001_WC08	C8	59	1778	Bactris corossilla	H. Balslev 7294	50	NO DNA left to Quantify
1	GOT_130404_P001_WC09	C9	67	544	Bactris gastoniana	J.C.Pintaud 1446	45.8	NO DNA left to Quantify
1	GOT_130404_P001_WC10	C10	75	3540	Bactris guineensis	JBP s.n.	50	1.86
1	GOT_130404_P001_WC11	C11	83	1751	Bactris halmoorei	H. Balslev 7267	50	1.87
1	GOT_130404_P001_WC12	C12	91	554	Bactris killipii	J.C.Pintaud 1428	50	1.85
1	GOT_130404_P001_WD01	D1	4	1080	Bactris longiseta	J.C.Pintaud 330	50	1.59
1	GOT_130404_P001_WD02	D2	12	293	Bactris maraja	H. Balslev 6565	50	2.08
1	GOT_130404_P001_WD03	D3	20	309	Bactris martiana	H. Balslev 6549	50	1.81
1	GOT_130404_P001_WD04	D4	28	3261	Bactris oligocarpa	T. Emilio 528	50	1.84
1	GOT_130404_P001_WD05	D5	36	548	Bactris pliniana	J.C.Pintaud 1452	50	1.81
1	GOT_130404_P001_WD06	D6	44	2096	Bactris riparia	H. Balslev 7953	50	1.80
1	GOT_130404_P001_WD07	D7	52	1768	Bactris schultesii	H. Balslev 7284	50	1.80
1	GOT_130404_P001_WD08	D8	60	256	Bactris setiflora	F. Borchsenius 629	50	No DNA left to Quantify
1	GOT_130404_P001_WD09	D9	68	1954	Bactris simplicifrons	H. Balslev 6780	50	1.75
1	GOT_130404_P001_WD10	D10	76	3359	Bactris syagroides	T. Emilio 801	50	1.84
1	GOT_130404_P001_WD11	D11	84	3536	Calyptrogyne baudensis	Samín et al. 05	50	1.87
1	GOT_130404_P001_WD12	D12	92	1191	Calyptrogyne fortunensis	J. Roncal 370	50	1.90
1	GOT_130404_P001_WE01	E1	5	1691	Calyptrogyne trichostachys	J. Roncal 414	50	1.87
1	GOT_130404_P001_WE02	E2	13	1116	Calyptronoma occidentalis	FTG 71375D	50	2.04
1	GOT_130404_P001_WE03	E3	21	1117	Calyptronoma plumeriana	FTG 82492D	35.8	No DNA left to Quantify
1	GOT_130404_P001_WE04	E4	29	3535	Ceroxylon peruvianum	Samín et al. 05	50	1.91
